Input_angles1, Input_angles2, Calc_angles1,Calc_angles2, Voltage1,Voltage2,Voltage3,Voltage4,Calc_angles
0,0,0,0,0,0,0,0,                                                                                                                                 29,-30,55.00,55.00,49.00,46.00,7.77,-1.65,

28,-30,48.00,49.00,48.00,48.00,0.59,-0.59,

27,-30,49.00,49.00,49.00,48.00,0.58,-0.58,

26,-30,48.00,47.00,48.00,48.00,-0.60,0.60,

25,-30,47.00,49.00,49.00,48.00,-0.59,-1.75,

24,-30,51.00,50.00,49.00,49.00,1.70,0.57,

23,-30,49.00,49.00,48.00,49.00,0.58,0.58,

22,-30,49.00,49.00,49.00,48.00,0.58,-0.58,

21,-30,49.00,49.00,49.00,48.00,0.58,-0.58,

20,-30,49.00,47.00,50.00,47.00,-0.59,-0.59,

19,-30,48.00,49.00,48.00,48.00,0.59,-0.59,

18,-30,48.00,49.00,49.00,48.00,0.00,-1.17,

17,-30,48.00,48.00,48.00,47.00,0.60,-0.60,

16,-30,52.00,48.00,50.00,49.00,0.57,1.70,

15,-30,48.00,49.00,48.00,48.00,0.59,-0.59,

14,-30,48.00,49.00,48.00,48.00,0.59,-0.59,

13,-30,49.00,49.00,49.00,49.00,0.00,0.00,

12,-30,48.00,49.00,49.00,49.00,-0.58,-0.58,

11,-30,52.00,47.00,47.00,46.00,3.47,2.34,

10,-30,47.00,48.00,48.00,47.00,0.00,-1.19,

9,-30,47.00,48.00,48.00,47.00,0.00,-1.19,

8,-30,42.00,46.00,46.00,45.00,-1.89,-3.11,

7,-30,44.00,51.00,31.00,46.00,10.73,5.08,

6,-30,47.00,50.00,42.00,50.00,2.95,2.95,

5,-30,48.00,49.00,49.00,48.00,0.00,-1.17,

4,-30,48.00,47.00,47.00,46.00,1.21,0.00,

3,-30,49.00,48.00,48.00,47.00,1.18,0.00,

2,-30,32.00,46.00,50.00,50.00,-12.41,-8.30,

1,-30,53.00,52.00,52.00,52.00,0.55,0.55,

0,-30,53.00,52.00,52.00,52.00,0.55,0.55,

-1,-30,51.00,52.00,51.00,52.00,0.00,0.00,

-2,-30,50.00,53.00,53.00,53.00,-1.62,-1.62,

-3,-30,53.00,54.00,53.00,52.00,1.07,-1.07,

-4,-30,53.00,53.00,52.00,53.00,0.54,0.54,

-5,-30,53.00,53.00,52.00,52.00,1.08,0.00,

-6,-30,53.00,53.00,53.00,53.00,0.00,0.00,

-7,-30,51.00,52.00,53.00,51.00,-0.55,-1.64,

-8,-30,54.00,53.00,51.00,52.00,2.14,1.08,

-9,-30,53.00,53.00,52.00,52.00,1.08,0.00,

-10,-30,52.00,52.00,52.00,52.00,0.00,0.00,

-11,-30,53.00,52.00,52.00,52.00,0.55,0.55,

-12,-30,43.00,52.00,50.00,51.00,-3.40,-4.48,

-13,-30,53.00,53.00,52.00,52.00,1.08,0.00,

-14,-30,53.00,53.00,52.00,53.00,0.54,0.54,

-15,-30,53.00,53.00,53.00,53.00,0.00,0.00,

-16,-30,52.00,53.00,54.00,50.00,0.55,-2.68,

-17,-30,22.00,46.00,50.00,50.00,-17.74,-14.04,

-18,-30,49.00,51.00,50.00,51.00,-0.57,-0.57,

-19,-30,36.00,50.00,50.00,51.00,-8.45,-7.41,

-20,-30,63.00,50.00,52.00,49.00,6.06,5.10,

-21,-30,56.00,54.00,54.00,54.00,1.04,1.04,

-22,-30,52.00,53.00,52.00,53.00,0.00,0.00,

-23,-30,52.00,51.00,50.00,49.00,2.22,0.00,

-24,-30,51.00,50.00,50.00,51.00,0.00,1.12,

-25,-30,39.00,50.00,51.00,52.00,-7.74,-5.65,

-26,-30,47.00,50.00,50.00,50.00,-1.72,-1.72,

-27,-30,50.00,50.00,50.00,50.00,0.00,0.00,

-28,-30,50.00,50.00,49.00,49.00,1.15,0.00,

-29,-30,51.00,50.00,50.00,50.00,0.57,0.57,

-30,-30,52.00,50.00,49.00,52.00,0.56,2.75,

-30,-29,57.00,54.00,52.00,52.00,3.61,1.58,

-29,-29,53.00,52.00,52.00,52.00,0.55,0.55,

-28,-29,53.00,53.00,53.00,52.00,0.54,-0.54,

-27,-29,51.00,53.00,53.00,53.00,-1.08,-1.08,

-26,-29,52.00,52.00,51.00,52.00,0.55,0.55,

-25,-29,52.00,52.00,52.00,52.00,0.00,0.00,

-24,-29,52.00,52.00,51.00,51.00,1.10,0.00,

-23,-29,52.00,51.00,50.00,51.00,1.11,1.11,

-22,-29,54.00,52.00,50.00,51.00,2.70,1.64,

-21,-29,53.00,52.00,52.00,52.00,0.55,0.55,

-20,-29,53.00,52.00,51.00,52.00,1.09,1.09,

-19,-29,53.00,54.00,52.00,52.00,1.61,-0.54,

-18,-29,49.00,53.00,53.00,51.00,-1.10,-3.24,

-17,-29,52.00,52.00,51.00,52.00,0.55,0.55,

-16,-29,53.00,52.00,52.00,52.00,0.55,0.55,

-15,-29,52.00,52.00,51.00,52.00,0.55,0.55,

-14,-29,51.00,52.00,51.00,52.00,0.00,0.00,

-13,-29,53.00,52.00,52.00,52.00,0.55,0.55,

-12,-29,53.00,52.00,52.00,52.00,0.55,0.55,

-11,-29,53.00,52.00,52.00,52.00,0.55,0.55,

-10,-29,53.00,53.00,52.00,52.00,1.08,0.00,

-9,-29,51.00,54.00,51.00,51.00,1.64,-1.64,

-8,-29,49.00,53.00,52.00,52.00,-1.10,-2.18,

-7,-29,52.00,52.00,51.00,52.00,0.55,0.55,

-6,-29,85.00,51.00,51.00,52.00,13.64,14.33,

-5,-29,54.00,52.00,52.00,52.00,1.08,1.08,

-4,-29,48.00,52.00,52.00,51.00,-1.67,-2.75,

-3,-29,52.00,52.00,51.00,52.00,0.55,0.55,

-2,-29,63.00,52.00,52.00,52.00,5.46,5.46,

-1,-29,53.00,52.00,52.00,53.00,0.00,1.08,

0,-29,53.00,52.00,52.00,52.00,0.55,0.55,

1,-29,52.00,52.00,51.00,52.00,0.55,0.55,

2,-29,52.00,52.00,52.00,52.00,0.00,0.00,

3,-29,52.00,52.00,51.00,52.00,0.55,0.55,

4,-29,52.00,52.00,51.00,51.00,1.10,0.00,

5,-29,56.00,53.00,52.00,51.00,3.15,1.07,

6,-29,52.00,52.00,51.00,52.00,0.55,0.55,

7,-29,63.00,53.00,52.00,52.00,5.91,4.97,

8,-29,53.00,53.00,52.00,53.00,0.54,0.54,

9,-29,53.00,53.00,50.00,51.00,2.70,0.55,

10,-29,53.00,53.00,51.00,51.00,2.16,0.00,

11,-29,52.00,52.00,51.00,52.00,0.55,0.55,

12,-29,52.00,52.00,51.00,52.00,0.55,0.55,

13,-29,52.00,52.00,51.00,51.00,1.10,0.00,

14,-29,52.00,51.00,50.00,50.00,1.67,0.56,

15,-29,53.00,52.00,52.00,52.00,0.55,0.55,

16,-29,52.00,52.00,51.00,52.00,0.55,0.55,

17,-29,53.00,53.00,52.00,52.00,1.08,0.00,

18,-29,54.00,52.00,51.00,52.00,1.62,1.62,

19,-29,47.00,51.00,49.00,50.00,-0.58,-1.72,

20,-29,53.00,52.00,51.00,52.00,1.09,1.09,

21,-29,52.00,51.00,51.00,51.00,0.56,0.56,

22,-29,52.00,52.00,51.00,52.00,0.55,0.55,

23,-29,55.00,53.00,52.00,52.00,2.12,1.07,

24,-29,52.00,52.00,52.00,52.00,0.00,0.00,

25,-29,53.00,52.00,51.00,52.00,1.09,1.09,

26,-29,53.00,53.00,52.00,52.00,1.08,0.00,

27,-29,55.00,52.00,50.00,51.00,3.21,2.16,

28,-29,53.00,50.00,51.00,51.00,0.56,1.65,

29,-29,52.00,52.00,51.00,52.00,0.55,0.55,

29,-28,52.00,52.00,52.00,52.00,0.00,0.00,

28,-28,52.00,51.00,50.00,51.00,1.11,1.11,

27,-28,46.00,53.00,50.00,53.00,-2.22,-2.22,

26,-28,54.00,52.00,52.00,52.00,1.08,1.08,

25,-28,53.00,52.00,51.00,52.00,1.09,1.09,

24,-28,36.00,52.00,52.00,53.00,-9.20,-8.21,

23,-28,51.00,53.00,53.00,53.00,-1.08,-1.08,

22,-28,54.00,53.00,51.00,53.00,1.61,1.61,

21,-28,52.00,52.00,52.00,52.00,0.00,0.00,

20,-28,52.00,52.00,51.00,52.00,0.55,0.55,

19,-28,52.00,52.00,51.00,51.00,1.10,0.00,

18,-28,50.00,52.00,50.00,53.00,-0.56,0.56,

17,-28,55.00,52.00,51.00,52.00,2.14,2.14,

16,-28,55.00,53.00,52.00,52.00,2.12,1.07,

15,-28,53.00,59.00,52.00,53.00,3.58,-2.58,

14,-28,56.00,52.00,52.00,52.00,2.12,2.12,

13,-28,52.00,53.00,50.00,52.00,1.64,0.55,

12,-28,52.00,52.00,51.00,52.00,0.55,0.55,

11,-28,53.00,52.00,51.00,52.00,1.09,1.09,

10,-28,52.00,51.00,51.00,51.00,0.56,0.56,

9,-28,54.00,51.00,53.00,51.00,0.55,0.55,

8,-28,53.00,52.00,52.00,52.00,0.55,0.55,

7,-28,53.00,52.00,52.00,52.00,0.55,0.55,

6,-28,53.00,52.00,52.00,52.00,0.55,0.55,

5,-28,53.00,52.00,52.00,51.00,1.09,0.00,

4,-28,54.00,53.00,52.00,53.00,1.07,1.07,

3,-28,52.00,52.00,51.00,52.00,0.55,0.55,

2,-28,52.00,52.00,51.00,52.00,0.55,0.55,

1,-28,52.00,51.00,51.00,52.00,0.00,1.10,

0,-28,54.00,53.00,52.00,52.00,1.61,0.54,

-1,-28,53.00,52.00,51.00,52.00,1.09,1.09,

-2,-28,53.00,52.00,51.00,52.00,1.09,1.09,

-3,-28,53.00,53.00,52.00,53.00,0.54,0.54,

-4,-28,53.00,52.00,51.00,52.00,1.09,1.09,

-5,-28,56.00,52.00,51.00,53.00,2.12,3.15,

-6,-28,52.00,52.00,51.00,52.00,0.55,0.55,

-7,-28,52.00,52.00,51.00,52.00,0.55,0.55,

-8,-28,52.00,51.00,51.00,52.00,0.00,1.10,

-9,-28,45.00,52.00,52.00,53.00,-4.36,-3.30,

-10,-28,53.00,52.00,51.00,52.00,1.09,1.09,

-11,-28,53.00,52.00,52.00,52.00,0.55,0.55,

-12,-28,53.00,53.00,52.00,52.00,1.08,0.00,

-13,-28,47.00,52.00,51.00,51.00,-1.68,-2.78,

-14,-28,47.00,51.00,49.00,52.00,-1.70,-0.57,

-15,-28,53.00,52.00,52.00,52.00,0.55,0.55,

-16,-28,53.00,52.00,52.00,52.00,0.55,0.55,

-17,-28,51.00,52.00,51.00,52.00,0.00,0.00,

-18,-28,55.00,53.00,51.00,51.00,3.18,1.08,

-19,-28,53.00,52.00,52.00,52.00,0.55,0.55,

-20,-28,53.00,53.00,52.00,52.00,1.08,0.00,

-21,-28,53.00,53.00,52.00,53.00,0.54,0.54,

-22,-28,51.00,53.00,52.00,51.00,0.55,-1.64,

-23,-28,56.00,52.00,52.00,53.00,1.59,2.63,

-24,-28,52.00,52.00,51.00,52.00,0.55,0.55,

-25,-28,52.00,52.00,51.00,52.00,0.55,0.55,

-26,-28,52.00,52.00,51.00,52.00,0.55,0.55,

-27,-28,53.00,50.00,53.00,53.00,-1.62,1.62,

-28,-28,53.00,53.00,52.00,52.00,1.08,0.00,

-29,-28,53.00,52.00,52.00,52.00,0.55,0.55,

-30,-28,53.00,53.00,52.00,52.00,1.08,0.00,

-30,-27,57.00,53.00,52.00,52.00,3.12,2.10,

-29,-27,52.00,53.00,53.00,52.00,0.00,-1.08,

-28,-27,53.00,52.00,52.00,52.00,0.55,0.55,

-27,-27,52.00,52.00,52.00,52.00,0.00,0.00,

-26,-27,51.00,51.00,51.00,51.00,0.00,0.00,

-25,-27,52.00,52.00,51.00,51.00,1.10,0.00,

-24,-27,55.00,51.00,51.00,51.00,2.16,2.16,

-23,-27,53.00,52.00,52.00,52.00,0.55,0.55,

-22,-27,52.00,52.00,51.00,52.00,0.55,0.55,

-21,-27,53.00,53.00,52.00,52.00,1.08,0.00,

-20,-27,53.00,53.00,53.00,52.00,0.54,-0.54,

